Food_id,Food,Quantity,Measure,weight,unit,prep,GI,Water,Water (DV),Energy,Energy (DV),"Protein
(8g x body 
weight)",Protein (DV),"Total lipid 
(fat)",Total lipid (DV),Carbs,Carbs (DV),Fiber,Fiber (DV),"Sugars, 
total",Sugar (DV),Boron,Boron (DV),Calcium,Calcium (DV),Chloride,Chloride (DV),Chromium,Chromium (DV),Copper,Copper (DV),Fluoride,Fluoride (DV),Iodine,Iodine (DV),Iron,Iron (DV),Magnesium,Magnesium (DV),Manganese,Manganese (DV),Molybdenum,Molybdenum (DV),"Phosphorus, P",Phosphorus (DV),"Potassium, K",Potassium (DV),Selenium,Selenium (DV),Sodium,Sodium (DV),Zinc,Zinc (DV),Thiamin-B1,Thiamin-1 (DV),Riboflavin-B2,Riboflavin (DV),Niacin-B3,Niacin -B3 (DV),B-6,B-6 (DV),B-12,B12 (DV),Biotin-B7,Biotin-B7 (DV),Choline,"Choline
 (DV)","Folate, 
(B9)",Folate (DV),Pantothenic,"Pantothenic
 (DV)",Vitamin-C,Vitamin-C (DV),"Vitamin-A, 
RAE",Vitamin-A (DV),"Vitamin-D
 (IU)",Vitamin-D (DV),"Vitamin E 
(ATEl)",Vitamin E ATE-(DV),"Fatty acids, 
total saturated",Fatty saturated (DV),"Fatty acids, 
total mono","Fatty acids, 
total mono (DV)","Fatty acids, 
total poly","Fatty acids, 
total poly (DV)","Fatty acids, 
total trans","Fatty acids (DV)
total trans",Cholesterol,"Cholesterol 
(DV)",omega-3,"omega-3
(DV)",omega-6,"omega-6 
(DV)",Alanine,Arginine,Aspartic Acid,Cystenine,Glutamic Acid,Glycine,Histidine,Isoleucine,Leucine,Lysine,Methionine,Phenylalanine,Proline,Serine,Threonine,Tryptophan,Tyrosine,Valine
,,,,,,,,2000 g,,2000 g,,56 g,,81g,,300 g,,25 g,,50 mg,,3000 ug,,1000 mg,,2000 mg,,35 ug,,0.9 mg,,4 mg,,150 ug,,18 mg,,400 mg,,2 mg,,45 ug,,700 mg,,3500 mg,,55 ug,,1500 mg,,11 mg,,1.2 mg,,1.3 mg,,16 mg,,1.7 mg,,2.4 ug,,30 ug,,425 mg,,400 ug,,5 mg,,75 mg,,900 ug,,400,,15 mg,,22 g,,17 g,,17 g,,2 g,,300 mg,,2.4 g,,7.2 g,,,,,,,,,,,,,,,,,,,
1,Egg_1_medium,1,medium,50,grams,fresh,low,37,0.0185,78,0.039,6.3,0.1125,5.32,0.065679012,0.56,0.001866667,0,0,0.6,0.012,6,0.002,25,0.025,80,0.04,0.2,0.005714286,0.01,0.011111111,0,0,27,0.18,0.6,0.033333333,5,0.0125,0.01,0.005,8.5,0.188888889,86,0.122857143,63,0.018,15.4,0.28,62,0.041333333,0.52,0.047272727,0.03,0.025,0.26,0.2,0.03,0.001875,0.06,0.035294118,0.55,0.229166667,8,0.266666667,147,0.345882353,22,0.055,0.7,0.14,0,0,75,0.083333333,44,0.11,0.87,0.058,1.63,0.074090909,2.04,0.12,0.73,0.042941176,0,0,165,0.55,0.06,0.025,0.67,0.093055556,0.35,0.38,0.63,0.15,0.82,0.21,0.15,0.34,0.54,0.45,0.2,0.33,0.25,0.47,0.3,0.08,0.26,0.38
2,Milk_p5_cup,0.5,cup,122,grams,boiled,low,107.52,0.05376,74.4,0.0372,3.84,0.068571429,3.65,0.045061728,5.86,0.019533333,0,0,5.86,0.1172,16,0.005333333,138,0.138,122,0.061,0.06,0.001714286,0.03,0.033333333,0,0,28.06,0.187066667,0.04,0.002222222,12.2,0.0305,0,0,2.44,0.054222222,102,0.145714286,161,0.046,4.5,0.081818182,52.4,0.034933333,0.45,0.040909091,0.06,0.05,0.21,0.161538462,0.11,0.006875,0.04,0.023529412,0.6,0.25,2.32,0.077333333,17.45,0.041058824,6.1,0.01525,0.5,0.1,0,0,56,0.062222222,62,0.155,0.13,0.008666667,2.28,0.103636364,1,0.058823529,0.21,0.012352941,0.12,0.06,12.2,0.040666667,0.06,0.025,0.15,0.020833333,0.12,0.1,0.31,0.02,0.81,0.07,0.11,0.19,0.34,0.3,0.09,0.19,0.36,0.22,0.15,0.05,0.18,0.24
2,Milk_1_cup,1,cup,244,grams,boiled,low,215.04,0.10752,148.8,0.0744,7.68,0.137142857,7.3,0.090123457,11.72,0.039066667,0,0,11.72,0.2344,32,0.010666667,276,0.276,244,0.122,0.12,0.003428571,0.06,0.066666667,0,0,56.12,0.374133333,0.08,0.004444444,24.4,0.061,0,0,4.88,0.108444444,204,0.291428571,322,0.092,9,0.163636364,104.8,0.069866667,0.9,0.081818182,0.12,0.1,0.42,0.323076923,0.22,0.01375,0.08,0.047058824,1.2,0.5,4.64,0.154666667,34.9,0.082117647,12.2,0.0305,1,0.2,0,0,112,0.124444444,124,0.31,0.26,0.017333333,4.56,0.207272727,2,0.117647059,0.42,0.024705882,0.24,0.12,24.4,0.081333333,0.12,0.05,0.3,0.041666667,0.24,0.2,0.62,0.04,1.62,0.14,0.22,0.38,0.68,0.6,0.18,0.38,0.72,0.44,0.3,0.1,0.36,0.48
3,yogurt_p5_cup,0.5,cup,124,grams,raw,low,107.5,0.05375,75,0.0375,4.25,0.075892857,4,0.049382716,5.71,0.019033333,0,0,5.71,0.1142,0,0,148.25,0.14825,208,0.104,0,0,0.01,0.011111111,0.02,0.005,35.5,0.236666667,0.06,0.003333333,14.7,0.03675,0.005,0.0025,5.65,0.125555556,116.5,0.166428571,190,0.054285714,2.7,0.049090909,56.5,0.037666667,0.73,0.066363636,0.04,0.033333333,0.18,0.138461538,0.09,0.005625,0.04,0.023529412,0.46,0.191666667,2,0.066666667,18.62,0.043811765,8.58,0.02145,0.48,0.096,0.62,0.008266667,33.59,0.037322222,2.45,0.006125,0.08,0.005333333,2.57,0.116818182,1.1,0.064705882,0.12,0.007058824,0,0,15.95,0.053166667,0.04,0.016666667,0.08,0.011111111,0.17,0.12,0.31,0.04,0.76,0.1,0.1,0.21,0.39,0.35,0.12,0.21,0.46,0.24,0.16,0.02,0.2,0.32
4,cheese_1_oz,1,oz,28.3,grams,fresh,low,10.4,0.0052,114.25,0.057125,7,0.125,9.23,0.113950617,0.36,0.0012,0,0,0.18,0.0036,5,0.001666667,204,0.204,292,0.146,0,0,0.01,0.011111111,0.01,0.0025,10.9,0.072666667,0.19,0.010555556,7.94,0.01985,0,0,1.3,0.028888889,145,0.207142857,28,0.008,3.94,0.071636364,176,0.117333333,0.88,0.08,0.01,0.008333333,0.11,0.084615385,0.02,0.00125,0.02,0.011764706,0.24,0.1,0.85,0.028333333,4.68,0.011011765,5,0.0125,0.12,0.024,0,0,64,0.071111111,6.8,0.017,0.12,0.008,5.4,0.245454545,2.82,0.165882353,0.57,0.033529412,0,0,30,0.1,0.22,0.091666667,0.35,0.048611111,0.18,0.25,0.42,0.03,1.6,0.11,0.23,0.4,0.62,0.54,0.17,0.34,0.73,0.38,0.23,0.08,0.31,0.43
5,sunflower_seeds_p25_cup,0.25,cup,35,grams,raw,low,1.66,0.00083,204,0.102,7.3,0.130357143,18,0.222222222,7,0.023333333,3,0.12,0.92,0.0184,0,0,27.3,0.0273,0,0,0,0,0.63,0.7,0,0,0,0,1.84,0.102222222,114,0.285,0.68,0.34,0,0,231,0.33,226,0.064571429,18.55,0.337272727,3.15,0.0021,1.75,0.159090909,0.52,0.433333333,0.12,0.092307692,2.92,0.1825,0.47,0.276470588,0,0,0,0,19.3,0.045411765,79.45,0.198625,0.4,0.08,0.49,0.006533333,0.88,0.000977778,0,0,12.3,0.82,1.56,0.070909091,6.5,0.382352941,8.1,0.476470588,0,0,0,0,0.03,0.0125,8.07,1.120833333,0.32,0.7,0.71,0.13,1.62,0.43,0.18,0.33,0.48,0.27,0.14,0.34,0.34,0.31,0.27,0.1,0.19,0.38
6,sunflower_seeds_p125_cup,0.125,cup,17.5,grams,raw,low,0.83,0.000415,102,0.051,3.65,0.065178571,9,0.111111111,3.5,0.011666667,1.5,0.06,0.46,0.0092,0,0,13.65,0.01365,0,0,0,0,0.315,0.35,0,0,0,0,0.92,0.051111111,57,0.1425,0.34,0.17,0,0,115.5,0.165,113,0.032285714,9.275,0.168636364,1.575,0.00105,0.875,0.079545455,0.26,0.216666667,0.06,0.046153846,1.46,0.09125,0.235,0.138235294,0,0,0,0,9.65,0.022705882,39.725,0.0993125,0.2,0.04,0.245,0.003266667,0.44,0.000488889,0,0,6.15,0.41,0.78,0.035454545,3.25,0.191176471,4.05,0.238235294,0,0,0,0,0.015,0.00625,4.035,0.560416667,0.16,0.35,0.355,0.065,0.81,0.215,0.09,0.165,0.24,0.135,0.07,0.17,0.17,0.155,0.135,0.05,0.095,0.19
7,pumpkin_seeds_p125_cup,0.125,cup,16.12,grams,raw,low,0.85,0.000425,90,0.045,4.9,0.0875,7.9,0.097530864,1.73,0.005766667,0.97,0.0388,0.23,0.0046,0,0,7.42,0.00742,0,0,0,0,0.22,0.244444444,0,0,0,0,1.42,0.078888889,95,0.2375,0.74,0.37,0,0,199,0.284285714,130.5,0.037285714,1.5,0.027272727,1.13,0.000753333,1.26,0.114545455,0.05,0.041666667,0.03,0.023076923,0.8,0.05,0.03,0.017647059,0,0,0,0,10.15,0.023882353,9.35,0.023375,0.12,0.024,0.31,0.004133333,0.13,0.000144444,0,0,0.35,0.023333333,1.4,0.063636364,2.6,0.152941176,3.5,0.205882353,0.01,0.005,0.01,3.33E-05,0.02,0.008333333,3.36,0.466666667,0.21,0.78,0.43,0.05,0.9,0.27,0.12,0.19,0.36,0.18,0.09,0.26,0.19,0.25,0.15,0.09,0.16,0.23
8,Walnuts_p25_cup,0.25,cup,30,grams,dried,low,1.22,0.00061,196.2,0.0981,4.57,0.081607143,19.56,0.241481481,4.11,0.0137,2.01,0.0804,0.78,0.0156,0,0,29.4,0.0294,7.2,0.0036,0,0,0.48,0.533333333,0,0,2.7,0.018,0.44,0.024444444,47.4,0.1185,1,0.5,8.85,0.196666667,103.8,0.148285714,132.3,0.0378,1.47,0.026727273,0.6,0.0004,0.93,0.084545455,0.1,0.083333333,0.05,0.038461538,0.34,0.02125,0.16,0.094117647,0,0,5.7,0.19,11.76,0.027670588,29.4,0.0735,0.17,0.034,0.39,0.0052,0.3,0.000333333,0,0,0.21,0.014,1.84,0.083636364,2.68,0.157647059,14.15,0.832352941,0,0,0,0,2.72,1.133333333,11.43,1.5875,0.2,0.66,0.53,0.06,0.82,0.24,0.11,0.18,0.34,0.12,0.07,0.21,0.2,0.27,0.17,0.05,0.12,0.22
